Seed,Model,Dataset,Accuracy,AUC
4569,LogisticRegression,Test,0.6046511627906976,0.6717391304347826
4569,RandomForest,Training,0.875,0.979375
4569,RandomForest,Test,0.5116279069767442,0.5228260869565218
4569,GradientBoosting,Training,0.9125,0.988125
4569,GradientBoosting,Test,0.5348837209302325,0.5076086956521739
4569,SVC,Training,0.7375,0.215625
4569,SVC,Test,0.6046511627906976,0.33043478260869563
4569,MLPClassifier,Training,0.7375,0.784375
4569,MLPClassifier,Test,0.6046511627906976,0.6673913043478261
5219,LogisticRegression,Training,0.725,0.785
5219,LogisticRegression,Test,0.6666666666666666,0.6296296296296298
5219,RandomForest,Training,0.8125,0.9325
5219,RandomForest,Test,0.4523809523809524,0.5320987654320988
5219,GradientBoosting,Training,0.9125,0.973125
5219,GradientBoosting,Test,0.42857142857142855,0.5345679012345679
5219,SVC,Training,0.7375,0.788125
5219,SVC,Test,0.5714285714285714,0.5802469135802469
5219,MLPClassifier,Training,0.7375,0.786875
5219,MLPClassifier,Test,0.6190476190476191,0.6444444444444445
7816,LogisticRegression,Training,0.75,0.788125
7816,LogisticRegression,Test,0.6190476190476191,0.6977272727272726
7816,RandomForest,Training,0.775,0.913125
7816,RandomForest,Test,0.5952380952380952,0.6977272727272728
7816,GradientBoosting,Training,0.8,0.865625
7816,GradientBoosting,Test,0.6428571428571429,0.7227272727272727
7816,SVC,Training,0.7375,0.761875
7816,SVC,Test,0.5952380952380952,0.6500000000000001
7816,MLPClassifier,Training,0.75,0.7875000000000001
7816,MLPClassifier,Test,0.6190476190476191,0.6954545454545454
7287,LogisticRegression,Training,0.7125,0.79375
7287,LogisticRegression,Test,0.6829268292682927,0.6570048309178744
7287,RandomForest,Training,0.8125,0.898125
7287,RandomForest,Test,0.5609756097560976,0.6497584541062802
7287,GradientBoosting,Training,0.7625,0.87
7287,GradientBoosting,Test,0.5609756097560976,0.6086956521739131
7287,SVC,Training,0.7125,0.7268749999999999
7287,SVC,Test,0.6829268292682927,0.6642512077294687
7287,MLPClassifier,Training,0.725,0.788125
7287,MLPClassifier,Test,0.6097560975609756,0.6376811594202899
4884,LogisticRegression,Training,0.6875,0.735625
4884,LogisticRegression,Test,0.6666666666666666,0.7608695652173914
4884,RandomForest,Training,0.9,0.9812500000000001
4884,RandomForest,Test,0.5641025641025641,0.5652173913043479
4884,GradientBoosting,Training,0.7125,0.8356250000000001
4884,GradientBoosting,Test,0.6666666666666666,0.6970108695652174
4884,SVC,Training,0.7125,0.5
4884,SVC,Test,0.6410256410256411,0.5
4884,MLPClassifier,Training,0.6875,0.73875
4884,MLPClassifier,Test,0.6666666666666666,0.7554347826086957
5205,LogisticRegression,Training,0.65,0.74
5205,LogisticRegression,Test,0.8108108108108109,0.8065476190476191
5205,RandomForest,Training,0.8875,0.9750000000000001
5205,RandomForest,Test,0.7027027027027027,0.7291666666666666
5205,GradientBoosting,Training,0.775,0.84
5205,GradientBoosting,Test,0.7567567567567568,0.7514880952380953
5205,SVC,Training,0.6,0.5775
5205,SVC,Test,0.7297297297297297,0.7410714285714286
5205,MLPClassifier,Training,0.6625,0.739375
5205,MLPClassifier,Test,0.8108108108108109,0.8035714285714285
5841,LogisticRegression,Training,0.6625,0.748125
5841,LogisticRegression,Test,0.7428571428571429,0.8388157894736842
5841,RandomForest,Training,0.7625,0.8968750000000001
5841,RandomForest,Test,0.7428571428571429,0.819078947368421
5841,GradientBoosting,Training,0.7375,0.8271875
5841,GradientBoosting,Test,0.7714285714285715,0.8388157894736841
5841,SVC,Training,0.675,0.693125
5841,SVC,Test,0.6571428571428571,0.6875
5841,MLPClassifier,Training,0.675,0.7462500000000001
5841,MLPClassifier,Test,0.7428571428571429,0.825657894736842
4104,LogisticRegression,Training,0.7,0.74125
4104,LogisticRegression,Test,0.7111111111111111,0.7529644268774704
4104,RandomForest,Training,0.8125,0.8790625000000001
4104,RandomForest,Test,0.5777777777777777,0.6314229249011858
4104,GradientBoosting,Training,0.7625,0.8134375
4104,GradientBoosting,Test,0.6444444444444445,0.709486166007905
4104,SVC,Training,0.6625,0.6931250000000001
4104,SVC,Test,0.6444444444444445,0.766798418972332
4104,MLPClassifier,Training,0.675,0.7424999999999999
4104,MLPClassifier,Test,0.6888888888888889,0.7569169960474308
4604,LogisticRegression,Training,0.6875,0.74
4604,LogisticRegression,Test,0.8333333333333334,0.8803827751196173
4604,RandomForest,Training,1.0,1.0
4604,RandomForest,Test,0.6666666666666666,0.7559808612440191
4604,GradientBoosting,Training,1.0,1.0
4604,GradientBoosting,Test,0.6666666666666666,0.7416267942583731
4604,SVC,Training,0.5125,0.53375
4604,SVC,Test,0.5,0.6244019138755981
4604,MLPClassifier,Training,0.6625,0.7375
4604,MLPClassifier,Test,0.8666666666666667,0.8899521531100478
5669,LogisticRegression,Training,0.7375,0.78625
5669,LogisticRegression,Test,0.6136363636363636,0.7388392857142857
5669,RandomForest,Training,0.8,0.9174999999999999
5669,RandomForest,Test,0.6136363636363636,0.6897321428571428
5669,GradientBoosting,Training,0.725,0.8556250000000001
5669,GradientBoosting,Test,0.6818181818181818,0.7109375
5669,SVC,Training,0.7,0.7221875
5669,SVC,Test,0.6363636363636364,0.5982142857142858
5669,MLPClassifier,Training,0.7125,0.7925
5669,MLPClassifier,Test,0.6136363636363636,0.7276785714285714
6118,LogisticRegression,Training,0.6875,0.75875
6118,LogisticRegression,Test,0.7380952380952381,0.7545454545454545
6118,RandomForest,Training,0.8875,0.9806250000000001
6118,RandomForest,Test,0.5714285714285714,0.6068181818181818
6118,GradientBoosting,Training,1.0,1.0
6118,GradientBoosting,Test,0.47619047619047616,0.5840909090909091
6118,SVC,Training,0.65,0.619375
6118,SVC,Test,0.7142857142857143,0.6704545454545454
6118,MLPClassifier,Training,0.6875,0.76
6118,MLPClassifier,Test,0.6904761904761905,0.7477272727272727
3682,LogisticRegression,Training,0.725,0.7781250000000001
3682,LogisticRegression,Test,0.6363636363636364,0.75
3682,RandomForest,Training,0.825,0.949375
3682,RandomForest,Test,0.5909090909090909,0.5895833333333333
3682,GradientBoosting,Training,0.8,0.8765625000000001
3682,GradientBoosting,Test,0.5909090909090909,0.6468750000000001
3682,SVC,Training,0.775,0.193125
3682,SVC,Test,0.5909090909090909,0.29791666666666666
3682,MLPClassifier,Training,0.725,0.78125
3682,MLPClassifier,Test,0.6363636363636364,0.7583333333333333
6178,LogisticRegression,Training,0.65,0.68875
6178,LogisticRegression,Test,0.7555555555555555,0.8273809523809523
6178,RandomForest,Training,0.8125,0.89125
6178,RandomForest,Test,0.5111111111111111,0.5912698412698413
6178,GradientBoosting,Training,0.775,0.88375
6178,GradientBoosting,Test,0.6222222222222222,0.677579365079365
6178,SVC,Training,0.6375,0.5956250000000001
6178,SVC,Test,0.7333333333333333,0.738095238095238
6178,MLPClassifier,Training,0.65,0.68875
6178,MLPClassifier,Test,0.7555555555555555,0.8273809523809524
7303,LogisticRegression,Training,0.6875,0.739375
7303,LogisticRegression,Test,0.7105263157894737,0.7797101449275362
7303,RandomForest,Training,0.875,0.949375
7303,RandomForest,Test,0.5789473684210527,0.5115942028985507
7303,GradientBoosting,Training,0.8625,0.9640624999999999
7303,GradientBoosting,Test,0.5263157894736842,0.536231884057971
7303,SVC,Training,0.7125,0.725625
7303,SVC,Test,0.6842105263157895,0.7826086956521738
7303,MLPClassifier,Training,0.6875,0.741875
7303,MLPClassifier,Test,0.6842105263157895,0.7855072463768117
8182,LogisticRegression,Training,0.7,0.77375
8182,LogisticRegression,Test,0.6097560975609756,0.7200956937799043
8182,RandomForest,Training,1.0,1.0
8182,RandomForest,Test,0.6097560975609756,0.6124401913875599
8182,GradientBoosting,Training,1.0,1.0
8182,GradientBoosting,Test,0.6097560975609756,0.6028708133971292
8182,SVC,Training,0.575,0.5378125
8182,SVC,Test,0.6585365853658537,0.6913875598086123
8182,MLPClassifier,Training,0.725,0.7675000000000001
8182,MLPClassifier,Test,0.6829268292682927,0.715311004784689
5077,LogisticRegression,Training,0.6625,0.7174999999999999
5077,LogisticRegression,Test,0.7906976744186046,0.816017316017316
5077,RandomForest,Training,0.7625,0.9131250000000001
5077,RandomForest,Test,0.6511627906976745,0.670995670995671
5077,GradientBoosting,Training,0.75,0.8309375
5077,GradientBoosting,Test,0.6976744186046512,0.765151515151515
5077,SVC,Training,0.65,0.615
5077,SVC,Test,0.7674418604651163,0.7857142857142857
5077,MLPClassifier,Training,0.625,0.718125
5077,MLPClassifier,Test,0.6976744186046512,0.8181818181818181
1681,LogisticRegression,Training,0.7,0.744375
1681,LogisticRegression,Test,0.725,0.7752525252525253
1681,RandomForest,Training,0.8875,0.98
1681,RandomForest,Test,0.675,0.7310606060606062
1681,GradientBoosting,Training,0.7125,0.8428125
1681,GradientBoosting,Test,0.675,0.6830808080808081
1681,SVC,Training,0.6875,0.25375000000000003
1681,SVC,Test,0.725,0.21717171717171718
1681,MLPClassifier,Training,0.6875,0.748125
1681,MLPClassifier,Test,0.725,0.7929292929292929
2,LogisticRegression,Training,0.675,0.7537499999999999
2,LogisticRegression,Test,0.6904761904761905,0.7295454545454546
2,RandomForest,Training,0.8125,0.9056249999999999
2,RandomForest,Test,0.6428571428571429,0.7375
2,GradientBoosting,Training,0.7375,0.8571875
2,GradientBoosting,Test,0.7142857142857143,0.7238636363636364
2,SVC,Training,0.6375,0.721875
2,SVC,Test,0.6428571428571429,0.6943181818181818
2,MLPClassifier,Training,0.7,0.751875
2,MLPClassifier,Test,0.6904761904761905,0.6977272727272728
681,LogisticRegression,Training,0.725,0.765625
681,LogisticRegression,Test,0.6521739130434783,0.7341269841269842
681,RandomForest,Training,0.8375,0.91375
681,RandomForest,Test,0.6086956521739131,0.6557539682539683
681,GradientBoosting,Training,0.975,0.99625
681,GradientBoosting,Test,0.5217391304347826,0.615079365079365
681,SVC,Training,0.7125,0.7525
681,SVC,Test,0.6304347826086957,0.736111111111111
681,MLPClassifier,Training,0.725,0.7625
681,MLPClassifier,Test,0.6304347826086957,0.7559523809523809
6713,LogisticRegression,Training,0.7125,0.744375
6713,LogisticRegression,Test,0.6666666666666666,0.7574370709382151
6713,RandomForest,Training,0.85,0.9453125
6713,RandomForest,Test,0.5476190476190477,0.5732265446224256
6713,GradientBoosting,Training,0.725,0.8346875
6713,GradientBoosting,Test,0.6904761904761905,0.7025171624713958
6713,SVC,Training,0.65,0.70875
6713,SVC,Test,0.7142857142857143,0.7528604118993135
6713,MLPClassifier,Training,0.7,0.7406250000000001
6713,MLPClassifier,Test,0.6666666666666666,0.7551487414187643
5772,LogisticRegression,Training,0.7125,0.75625
5772,LogisticRegression,Test,0.6923076923076923,0.7578947368421053
5772,RandomForest,Training,0.875,0.9515625
5772,RandomForest,Test,0.5641025641025641,0.65
5772,GradientBoosting,Training,0.7625,0.8378125000000001
5772,GradientBoosting,Test,0.6410256410256411,0.6776315789473684
