Seed,Model,Dataset,Accuracy,AUC
2955,MLPClassifier,Test,0.6744186046511628,0.7521929824561404
74,LogisticRegression,Training,0.65,0.7075
74,LogisticRegression,Test,0.7317073170731707,0.8253588516746411
74,RandomForest,Training,0.7875,0.896875
74,RandomForest,Test,0.5609756097560976,0.7129186602870814
74,GradientBoosting,Training,0.8625,0.953125
74,GradientBoosting,Test,0.5853658536585366,0.7296650717703349
74,SVC,Training,0.6375,0.7053124999999999
74,SVC,Test,0.7317073170731707,0.8253588516746412
74,MLPClassifier,Training,0.675,0.7087500000000001
74,MLPClassifier,Test,0.7073170731707317,0.8062200956937798
4368,LogisticRegression,Training,0.7125,0.776875
4368,LogisticRegression,Test,0.7073170731707317,0.7410256410256411
4368,RandomForest,Training,0.8125,0.906875
4368,RandomForest,Test,0.5365853658536586,0.6153846153846154
4368,GradientBoosting,Training,0.75,0.8765624999999999
4368,GradientBoosting,Test,0.6097560975609756,0.6358974358974359
4368,SVC,Training,0.7,0.22468749999999998
4368,SVC,Test,0.7073170731707317,0.25384615384615383
4368,MLPClassifier,Training,0.7125,0.785625
4368,MLPClassifier,Test,0.6585365853658537,0.7282051282051283
705,LogisticRegression,Training,0.6125,0.684375
705,LogisticRegression,Test,0.7209302325581395,0.8399122807017544
705,RandomForest,Training,0.8,0.9099999999999999
705,RandomForest,Test,0.627906976744186,0.7039473684210527
705,GradientBoosting,Training,1.0,1.0
705,GradientBoosting,Test,0.6511627906976745,0.680921052631579
705,SVC,Training,0.6375,0.700625
705,SVC,Test,0.7209302325581395,0.7894736842105263
705,MLPClassifier,Training,0.6375,0.7212500000000001
705,MLPClassifier,Test,0.7441860465116279,0.8135964912280702
6929,LogisticRegression,Training,0.725,0.795
6929,LogisticRegression,Test,0.627906976744186,0.6891304347826087
6929,RandomForest,Training,1.0,1.0
6929,RandomForest,Test,0.627906976744186,0.6217391304347826
6929,GradientBoosting,Training,0.9375,0.98875
6929,GradientBoosting,Test,0.5813953488372093,0.6532608695652175
6929,SVC,Training,0.725,0.795625
6929,SVC,Test,0.6744186046511628,0.6847826086956521
6929,MLPClassifier,Training,0.75,0.7975
6929,MLPClassifier,Test,0.5813953488372093,0.682608695652174
9239,LogisticRegression,Training,0.7,0.7631249999999999
9239,LogisticRegression,Test,0.7435897435897436,0.7638888888888888
9239,RandomForest,Training,0.8125,0.8875000000000002
9239,RandomForest,Test,0.6410256410256411,0.7013888888888888
9239,GradientBoosting,Training,0.75,0.836875
9239,GradientBoosting,Test,0.6410256410256411,0.7125000000000001
9239,SVC,Training,0.7,0.7625
9239,SVC,Test,0.7692307692307693,0.7513888888888889
9239,MLPClassifier,Training,0.725,0.8112499999999999
